QUEST_20150317_000001	Пожалуйста, выберите пользователя, требующие обновления квеста.
QUEST_20150317_000062	"Откуда она Богиня Zemyna идти...
QUEST_20150317_000063	Что в мире ты это назовешь??
QUEST_20150317_000064	Я думаю Zemyna, богиня земли будут горевать больше, чем кто-либо другой.
QUEST_20150317_000065	В Pokubu всегда были здесь, но иногда незнакомые монстры замечены также.
QUEST_20150317_000066	Я думала об этом. Нет сомнения, что богинь отказались от нас всех. {nl}если что не так, то не было бы так много монстров.
QUEST_20150317_000067	Они говорят, что есть человек благословлен богиней силы, живущие в лесу.
QUEST_20150317_000068	Я хочу домой.
QUEST_20150317_000069	Количество монстров здесь не меняются независимо от того, сколько из них мы убьем.
QUEST_20150317_000070	Сделал Джулиан отпустил тебя, Открыватель??
QUEST_20150317_000071	Я поражен. {nl}ты первый человек, которого я встретил здесь в несколько лет.
QUEST_20150317_000072	Я покажу вам, что я видел.
QUEST_20150317_000073	Пожалуйста, забудь обо мне и оставь. {nl}цветы, кажется, идут вместе красиво.
QUEST_20150317_000074	Лена
QUEST_20150317_000075	Пожалуйста, расскажите мне историю своей жизни. {nl}мы следуем воле Vibora и записать все, что есть в этом мире.
QUEST_20150317_000076	Henryka
QUEST_20150317_000077	Здравствуйте! {nl}Добро пожаловать в Клайпеде филиал общества мага. {nl}мы специализируемся на изучение странных явлений, которые происходят, когда специальные предметы объединены.
QUEST_20150317_000078	There's nothing to see here but steam and Vubbes. {nl}Wait, what's that thing with the big face that's approaching?!
QUEST_20150317_000079	Земля нуждается в нашей внимание, как хорошо. {nl}мир еще не испорчен... да??
QUEST_20150317_000080	Если мы по-прежнему любезно, тогда мы еще знать путь праведной жизни. {nl}мы должны все рассмотреть, является ли или не этот бардак-это наша вина, потому что мы рассчитывали на богиня за все.
QUEST_20150317_000081	Доска Объявлений
QUEST_20150317_000082	Добро пожаловать в шахтерский город Клайпеда!
QUEST_20150317_000083	Равнодушным Вдова
QUEST_20150317_000084	Я не уверен, что понимаю его полностью, но то, что я уверена, что богинь не исчезнут все сразу.
QUEST_20150317_000085	Первыми исчезают была богиней одновременно. {nl}я слышал, это было очень давно. {nl}один за другим, начиная с одновременно, они остановились отвечая.
QUEST_20150317_000086	Богиня Vakarine оставил нам незадолго до Medzio Диена. {nl}как Zemyna и Ausrine исчез вскоре после этого. {nl}прошло уже четыре года с тех пор.
QUEST_20150317_000087	Это верно. Что самое странное была Богиня Лайма. {nl}никто на самом деле не знаю, когда она исчезла.
QUEST_20150317_000088	Besides, isn't Лайма the Goddess of Fate and Wisdom? {nl}She probably knew all about it.
QUEST_20150317_000089	Отдыхая Солдата
QUEST_20150317_000090	Я использовал, чтобы быть искателем приключений, как ты. Потом я получил стрелу в колено...
QUEST_20150317_000091	Это не имеет значения. Приди и посмотри мне в глаза, вы монстры!
QUEST_20150317_000092	Богиня появилась в моем сне просто сейчас... {nl}это было так феерично...
QUEST_20150317_000093	Еще, у меня есть обязанность защищать королевство. Вот почему я здесь.
QUEST_20150317_000094	Uska это мой старый друг.
QUEST_20150317_000095	Мы сделали наши тесты, чтобы стать рыцарями вместе. Uska оказался там, где он сейчас находится с моей искренней поддержки. {nl}О, это были сумасшедшие дни... было бы здорово увидеть его снова.
QUEST_20150317_000096	Просто не верь всему, что он говорит. {nl}он был известен тем, что совсем понты домой.
QUEST_20150317_000097	Me? I find it funny, so I just leave him alone.
QUEST_20150317_000098	Э-э, подожди. Я беру назад то, что я сказал о не веря всему, что он говорит.
QUEST_20150317_000099	Все, что вылетает из его уст-это ложь. Не доверять ему.
QUEST_20150317_000100	Siauliai Guard
QUEST_20150317_000101	Есть монстры за пределами этой точки. Будьте осторожны.
QUEST_20150317_000102	Эти леса не совсем мирных, но это лучше, чем в других местах. {nl}есть леса, которые не имеют ничего, кроме души бродят.
QUEST_20150317_000103	Это то, что люди, которые видели богиню в свои мечты зовут.
QUEST_20150317_000104	Я думал, что носители откровений' видения, безумие сначала. {nl}богинь были давно зашли после всех.
QUEST_20150317_000105	Разве не правда, что богинь не отвечая на наши молитвы тех пор Medzio Диена четыре года назад??
QUEST_20150317_000106	Вы можете найти класс мастеров по всему королевству. {nl}почему бы тебе не навестить их и узнать, что вы можете??
QUEST_20150317_000107	You don't know about Medzio Diena? You must have come from really far away. {nl}Four years ago, things went out of control in the capital.
QUEST_20150317_000108	Это была катастрофа... многие люди были либо ранены, либо убиты. {nl}после нежных созданий росла жестокой и много новых монстров появилось.
QUEST_20150317_000109	Если вы хотите понять, что произошло на Medzio Диена четыре года назад, затем перейдите в Клайпеде. {nl}многие из его выживших нашла убежище там.
QUEST_20150317_000110	Восточные Леса Дозорный
QUEST_20150317_000111	Are you heading to the Eastern Woods? {nl}You mustn't! It's far too dangerous!
QUEST_20150317_000112	Блин, эти упрямые вещи преследовали нас до сих пор!
QUEST_20150317_000113	Эти крики... нас атакуют!
QUEST_20150317_000114	Инструкции По Технике Безопасности
QUEST_20150317_000115	1. Только уполномоченный персонал может войти. {nl}2. Всегда следуйте указаниям горного начальника.
QUEST_20150317_000116	3. Не приближайтесь к закрытой территории. {nl}4. Никаких подозрительных лицах следует сообщать в Клайпеде рыцарей.
QUEST_20150317_000117	База Снабжения Солдат
QUEST_20150317_000118	Я никогда не был в реальном бою, прежде чем так что я немного нервничаю.
QUEST_20150317_000119	Ферма Страж
QUEST_20150317_000120	Мой коллега в середине сражения на шахтерские деревни. {nl}я думал поможет, но восточные леса в беде, так что все, что я могу сделать, это беспокоиться.
QUEST_20150317_000121	Я думаю, что эта миссия показала мне достаточно монстров на всю жизнь. {nl}раньше просто групп Vubbes.
QUEST_20150317_000122	Чупакабра любят ручьи и пышная растительность Северного района.
QUEST_20150317_000123	Клайпеда Гвардии Капитан
QUEST_20150317_000124	Ты...
QUEST_20150317_000125	Похоже, вы можете увидеть в верхней лесом от сюда. {nl}постарайтесь не попасть в беду.
QUEST_20150317_000126	У вас нет необходимых квестовый предмет. Вы уверены, что хотите продолжить??
QUEST_20150317_000127	Klaipeda Девушка
QUEST_20150317_000128	Мой сосед раньше был монстр-охотник. {nl}сейчас он уже на пенсии, хотя. Он стал яростно опасно.
QUEST_20150317_000129	Было бы неплохо, если бы все эти носители откровений здесь имел в виду, что богинь вернулись.
QUEST_20150317_000130	Это может быть глупо надеяться на богиню' возвращение, но это лучше, чем ничего.
QUEST_20150317_000131	Klaipeda Леди
QUEST_20150317_000132	Мы все еще можем вырасти из земли, и есть теплый очаг в наших домах, чтобы отдохнуть на. {nl}я всегда буду верить богини-это где-то в мире.
QUEST_20150317_000133	Сохранить веру. {nl}богиня может все-таки послать Спасителя для нас.
QUEST_20150317_000134	Гоплит Мастер
QUEST_20150317_000135	Если меч-это символ власти, то копье, что из чистого разрушения. {nl}власти или разрушения - что бы вы достичь на поле боя??
QUEST_20150317_000136	Машина Работника
QUEST_20150317_000137	Даже с мира как хаотического, так как он является, мы не можем перестать работать. {nl}прошло четыре года. Не пора ли заключить мир с прошлым и начать все сначала??
QUEST_20150317_000138	Клайпеда-это город, который живет за счет своей добычи. {nl}с Medzio Диена, мы должны работать по посадке деревьев или рубить их.
QUEST_20150317_000139	Мой старик сделал одну вещь-он проверил вокруг углов на что-нибудь приятное. {nl}иногда, он бы получить повезло, и найти хороший сундук с сокровищами. Интересно, кто оставляет их там.
QUEST_20150317_000140	Отставной Охотник
QUEST_20150317_000141	Я помню эту битву в глубокий каньон, где солдаты воевали огромный монстр. {nl}увидев гигантские вещь осенью было удивительно, но что было более удивительно, так это трофеи.
QUEST_20150317_000142	Старый Поттер
QUEST_20150317_000143	Я поставил молитву на мой фаянс, один за другим. {nl}таким образом, горшки в один прекрасный день будет наполнен богини благословения.
QUEST_20150317_000144	Мечники должны иметь прочность, но вы можете также иметь ловкость и Конституцию. {nl}Вы должны будете подумать, с чего начать.
QUEST_20150317_000145	Мастера работают с интеллекта, но не стоит забывать духом дополнительные заклинания. {nl}, вам придется выбирать между тем, чтобы быть сбалансированным или специализирующихся.
QUEST_20150317_000146	Лучники должны иметь силу, а ловкость позволит предотвратить проблемы с движением. {nl}Вы должны будете подумать, с чего начать.
QUEST_20150317_000147	Священнослужители работают с разведки, но может понадобиться много сил или Духа. {nl}Вы должны действительно решить, что вы хотите, в первую очередь.
QUEST_20150317_000148	Дважды Мастер Soeldner
QUEST_20150317_000149	Стоящие вещи всегда несут определенную степень риска. {nl}естественно за большое вознаграждение, вам придется мириться с большим количеством опасности.
QUEST_20150317_000150	Корсар Мастер
QUEST_20150317_000151	Я никому не поможет в беде если там ничего нет в ней для меня.
QUEST_20150317_000152	Валун
QUEST_20150317_000153	Большой валун, загораживающий путь.
QUEST_20150317_000154	Он должен быть отремонтирован.
QUEST_20150317_000155	Валун преграждает путь.
QUEST_20150317_000156	Магические Исследования Материала
QUEST_20150317_000157	Похоже, что это чьи-то аналитические записки от Маг башни. {nl}должны быть скопированы??
QUEST_20150317_000158	Прятаться и красться не решит все ваши проблемы. {nl}настоящий разведчик должен быть готов к бою.
QUEST_20150317_000159	Вам понадобится много вещей во время поездок. {nl}обязательно запас своего положения заранее.
QUEST_20150317_000160	Если элемент управления является развеял магии, божественных посланий не будут защищены.
QUEST_20150317_000161	Забыли вора памятник
QUEST_20150317_000162	Я, Zubeck, оставьте эту эпитафию. {nl}за честь быть величайшим вором в истории, я вызвал могущественного чародея.
QUEST_20150317_000163	But could I, a mere thief, claim victory by merely stealing from her? {nl}Perhaps, if I could rob the greatest archmage blind.
QUEST_20150317_000164	Однако, я не мог. {nl}я хотел быть номером один вор за всю историю, не только сегодня.
QUEST_20150317_000165	Я наконец нашла возможность войти в Башню мага. {nl}делать так нужно сконцентрировать магическую силу в определенном месте. {nl}теперь мне нужно только сделать еще один решительный шаг.
QUEST_20150317_000166	Затем, мой специальный прибор будет активировать. {nl}если ты сделаешь, как я сделал, вы сможете войти в башню, как хорошо.
QUEST_20150317_000167	После этого, вы тоже можете показать этих тупых магов вещь или два. Ха-ха!
QUEST_20150317_000168	Главное Памятник
QUEST_20150317_000169	Воры, которые вошли в эту башню были сожжены заживо. {nl}я оставляю этот памятник, как предупреждение для других нарушителей. {nl}- Agailla шквал
QUEST_20150317_000170	Демон Королева Gesti
QUEST_20150317_000171	Обнаглели люди.
QUEST_20150317_000172	Ты только подожди. Это еще не конец. {nl}молитесь своим сердцем, что Лайма будет спасти этот мир.
QUEST_20150317_000173	Клайпеда Офицер
QUEST_20150317_000174	Добро пожаловать, Добро пожаловать. {nl}сэр Uska ждет в Клайпеде центральной площади. {nl}о, ты еще что-то нужно, в первую очередь??
QUEST_20150317_000175	Вы действительно хотите головы до Клайпеды ворота сразу??
QUEST_20150317_000176	Временный Оператор
QUEST_20150317_000177	Пожалуйста, измените этот символ статуса.
QUEST_20150317_000178	НПЦ скрыть/показать настройки!
QUEST_20150317_000179	Последователь Альгис
QUEST_20150317_000180	В момент, когда богиня предсказал первый Паладин, наконец, прибыл. {nl}пришел. Спросите меня что-нибудь.
QUEST_20150317_000181	Долгое, долгое время назад, там были кочевники, которые пострадали от проклятой чумы. {nl}почетное первое Паладин снял проклятие с собой священную реликвию.
QUEST_20150317_000182	Наблюдатели являются потомками тех кочевников. {nl}однако святыня не был предназначен для исцеления этих людей.
QUEST_20150317_000183	Однажды, богиня просила первый Паладин охранять божественное откровение. {nl}проклятые кочевники появились как паладин призадумался о том, как сохранить это в секрете.
QUEST_20150317_000184	Они и первый Паладин сделал три обязательства перед снятию проклятия.
QUEST_20150317_000185	Для построения Тенета Церкви вместе. {nl}, чтобы скрыть Святую реликвию в пределах этих основаниях и поклоняться его святости. {nl}собраться и бороться вместе, когда опасность близко подойти к этой локации.
QUEST_20150317_000186	Все это, было защитить откровение скрыто в святилище в Тенета Церкви.
QUEST_20150317_000187	Святая реликвия была изначально сделана для защиты откровение в качестве приманки. {nl}с ним, мы будет заманить демона королевы и уничтожить ее.
QUEST_20150317_000188	Всякое может случиться, хотя. {nl}если план провалится, то финальная битва будет скорее всего происходить в Тенета Церкви.
QUEST_20150317_000189	Pawndel
QUEST_20150317_000190	В чем дело??
QUEST_20150317_000191	Правда??
QUEST_20150317_000192	Pawnd
QUEST_20150317_000193	Что случилось??
QUEST_20150317_000194	Gesti приказал нам охранять это место.
QUEST_20150317_000195	Так что мне теперь делать??
QUEST_20150317_000196	Это правильное место??
QUEST_20150317_000197	Объясняя
QUEST_20150317_000198	Общие детали откровение фрагмент найден в алмазной шахте.
QUEST_20150317_000199	Я не знаю, как большой вы были в прошлом и не интересно. {nl}в здесь, вы будете следовать за Королевской армии приказы, даже вы рыцари Kaliss. {nl}здесь, наше слово-закон!
QUEST_20150317_000200	Graverobber Да?bertas
QUEST_20150317_000201	Торчать в этих развалинах сводит меня с ума. {nl}какого черта он пришел сюда в любом случае??
QUEST_20150317_000202	Graverobber Benjaminas
QUEST_20150317_000203	Люди называют нас расхитители могил, но мы предпочитаем называть себя... археологи, {nl}продувкой и использованием всех этих предметов больше никто не использует. {nl}это уж точно лучше, чем оставлять их гнить, верно??
QUEST_20150317_000204	Гражданский журнал
QUEST_20150317_000205	Прошел уже год со времен гражданской войны. Цены в городе резко возросла. {nl}командир Ruklys уже послали за помощью, чтобы восстановить город убывающих запасов. {nl}это было время, так как мы уже были какие-либо хорошие новости. Ходят разговоры о короле Kadumel собираюсь после Генеральной. {nl}настроение не изменится в ближайшее время.
QUEST_20150317_000206	Часовой доклад
QUEST_20150317_000207	Посты охраны были усилены в ответ Король Kadumel силы " движений в стране. {nl}было подтверждено, что приказы короля большое войско. {nl}но если Общие Hayatin может собрать достаточно добровольцев-солдат, некомпетентный король будет скорее всего сдаваться или отступать.
QUEST_20150317_000208	Трейдер журнал
QUEST_20150317_000209	The city is running out of food and supplies. {nl}(The rest is illegible.)
QUEST_20150317_000210	Ходят слухи, что Ruklys слышали про граждан жестких условиях {nl}и ведет переговоры с Kadumel для их амнистии.
QUEST_20150317_000211	Офицер рекорд
QUEST_20150317_000212	Премьер видных ведет переговоры с командиром Ruklys. {nl}мы, возможно, придется двигаться к крепости земель и позволить королевской силы претендовать на город. {nl}это хорошая новость для нашего гражданского населения по крайней мере. Несмотря на город уступил крепость не будет взята, как легко.
QUEST_20150317_000213	Король Kadumel увлекается гонишь горожан. {nl}премьер толкает командира Ruklys вести переговоры условия обеспечения гражданских лиц находятся в безопасности от вражеских сил. {nl}несмотря на королевские вооруженные силы, захватившие городок, пока нет никаких угрожающих движений.
QUEST_20150317_000214	Мы должны подождать, пока Костас приедет. {nl}у нас есть много общего, поэтому было бы неплохо, если он получает здесь в ближайшее время.
QUEST_20150317_000215	Cryomancer Костас
QUEST_20150317_000216	Все решится, когда символ шелка впереди. {nl}с его помощью мы можем возродить город.
QUEST_20150317_000217	Graverobber Rudolfas
QUEST_20150317_000218	Королевское войско и рыцари Kaliss... я думаю, что мы ударили золото. {nl}там вообще никого нет или зовет это место домашнего уюта.
QUEST_20150317_000219	Царский офицер рекорд
QUEST_20150317_000220	Нет никакого прогресса, поскольку Ruklys' группы отступили к крепости Земли. {nl}священники под maven-а направление не хотят воевать, и царь нанимает магов, заплатив им кругленькую сумму. {nl}но мы ожидаем, что практически никакого прогресса, даже после их участия.
QUEST_20150317_000221	Горожанина документа
QUEST_20150317_000222	How could this happen?! {nl}Lydia Schaffen is aiding Kadumel's forces!
QUEST_20150317_000223	Армия Официальный отчет
QUEST_20150317_000224	Лидия Schaffen, человек я слышал только в слухах, пришел в город со своей свитой. {nl}офицеры и солдаты ожидать, что она изменит ход боя. {nl}}Его Величество приказал нам поддержать ее в меру наших возможностей.
QUEST_20150317_000225	Гражданин рекорд
QUEST_20150317_000226	Крепость на Землю упал! Все кончено...
QUEST_20150317_000227	Ruklys командир пал в бою, и крепость из земли был взят. {nl}некоторые люди говорят, что командир умер, чтобы Лидия Schaffen стрела, и другие говорят, что он умер в королевских магов магии. {nl}это действительно печальная новость.
QUEST_20150317_000228	Для поддержки рыцарей Kaliss я была далека здесь от головного офиса. {nl}если у вас любые проблемы, посетить штаб-квартиру на площади скорби.
QUEST_20150317_000229	Начальство в рыцари Kaliss тратят много на это место. Я не уверен, что думать. {nl}чтобы сделать вопросы хуже, грабителей могил находятся здесь, поэтому мы просто ждем поддержки.
QUEST_20150317_000230	До сих пор, я видел только проклятую цифры погибших. Теперь, когда я здесь, это скоро изменится.
QUEST_20150317_000231	Будет lifting this city's curse bring back the dead? {nl}I doubt it, but our lords have put great effort into retaking this area. {nl}They've done all they could for that purpose.
QUEST_20150317_000232	Грабителями Stephonas
QUEST_20150317_000233	Мы отличаемся от других грабят могилы хулиганы. {nl}что у них нет гордости или деловое чутье! {nl}, если вы поможете нам сейчас, мы будем вернуть должок когда-нибудь скоро.
QUEST_20150317_000234	Королевской Армии Гвардии Rofdel
QUEST_20150317_000235	Вы можете видеть всевозможные вещи происходят от этой сторожевой башни, даже если это, как будто время в городе остановилось. {nl}пыль обычно встает на пути, но вы можете увидеть все до Ruklys дорогу, когда идет дождь.
QUEST_20150317_000236	Мы работали на протяжении веков, чтобы возродить эти руины. {nl}с вашей помощью, мы сможем узнать о том, что день и, наконец, добиться успеха.
QUEST_20150317_000237	Бокор Эдита
QUEST_20150317_000238	Там наверняка проклятие здесь. Я в этом уверен.
QUEST_20150317_000239	Алхимик Saliamonas
QUEST_20150317_000240	Это место является по-настоящему интригующей. Этот город полон вещей, чтобы учиться и экспериментировать дальше.
QUEST_20150317_000241	Грабителями Аманда
QUEST_20150317_000242	Наша семья отличается от других грабят могилы животных. {nl}мы могли бы согнуть несколько правил, чтобы заработать на жизнь, но все же...
QUEST_20150317_000243	Are the soldiers already dead? {nl}I've never seen a frost stone as strange as this before. {nl}It's like everyone in the city is trying to hide something by reliving that day.
QUEST_20150317_000244	Высокая Скорость Передвижения
QUEST_20150317_000245	Порваны Письма
QUEST_20150317_000246	Для моего любимого брата в Fedimian...
QUEST_20150317_000247	Gesti уже почувствовал это. Сохраняйте спокойствие. Еще не пришло время.
QUEST_20150317_000248	Внеслужебное питания Трупер
QUEST_20150317_000249	Я понятия не имею, что королевская семья делает. {nl}я даже слышал, что дворяне уже покинули город.
QUEST_20150317_000250	В такие времена, это хорошее ремесло и использовать свои собственные вещи, а не покупать вещи. {nl}я изначально был запас десантник, но, что работа не сильно отличается от кузнеца.
QUEST_20150317_000251	Последователь Норма
QUEST_20150317_000252	Я не знал, что вы были тем, кто принял нашу просьбу, Богослов. {nl}это действительно большая честь.
QUEST_20150317_000253	Gesti-демоны продолжают атаковать беспощадно. {nl}их темного влияния достигла Панто, которые живут здесь.
QUEST_20150317_000254	В Панто были когда-то послушный, но теперь они берут и нападают на зрение.
QUEST_20150317_000255	Там дерево вот, что Панто поклонения. {nl}если это происходит, то дерево почти наверняка повреждены из-за темной силы.
QUEST_20150317_000256	Пожалуйста, защитите Romuvan барьер в верхней части долины. {nl}мы позаботимся об остальном, когда наши братья приезжают сюда.
QUEST_20150317_000257	Пусть богиня благословит тебя.
QUEST_20150317_000258	Я хочу сделать несколько действий. {nl}я не видел драки за долгое время.
QUEST_20150317_000259	Мы все еще готовимся. {nl}пожалуйста, подождите немного дольше.
QUEST_20150317_000260	Антарес
QUEST_20150317_000261	What? You still try and disturb my experiments? {nl}I will not allow this!
QUEST_20150317_000262	Будьте осторожны! Я уверен, что это Антарес работы. Он взорвется, если вы получаете слишком близко. {nl}Вы бы лучше заманить монстров и удалить их по одному.
QUEST_20150317_000263	Когда я выпускаю этот клапан, мой грандиозный эксперимент будет завершен и вы увидите самое захватывающее зрелище!
QUEST_20150317_000264	Не перебивай, пока я делаю свою работу жемчужин известность.
QUEST_20150317_000265	You still don't get it? If it weren't for Antares, I'd be spending my life as a human. {nl}That's right. I'm a demon.
QUEST_20150317_000266	Действительно... драгоценности уделяется немало внимания было сложно сделать, и было бы неплохо увидеть конечный продукт за один раз. {nl}это естественно мой любимый, но я не знаю о вас. Хахаха...
QUEST_20150317_000267	Do you know about the Demon Lord, Helgasercle? {nl}I've read that she attacked the Mage Tower several times in the past.
QUEST_20150317_000268	Она будет продолжать усиливаться до тех пор, пока ее зависть ослабевает. {nl}но она потерпела поражение каждый раз, когда она пришла, так что я не удивлюсь, если ей удалось на этот раз.
QUEST_20150317_000269	Берегись! Позади вас!
QUEST_20150317_000270	Я надеюсь, что это откровения будут приходить к вам под благословение огня... {nl} я начну с попытки предвидеть бедствия, которые произойдут в вашей раз.
QUEST_20150317_000271	С незапамятных времен, мировое дерево выросло под землей, вдохнуть жизнь в существо. {nl}она есть корень всех вещей.
QUEST_20150317_000272	Giltine является готовя почву для катастрофы, превращая мировое Древо сущность на себя.{nl}путем реверсного потока энергии жизни, мировое Древо отбили его и вырастает до огромных масштабов.
QUEST_20150317_000273	Неистовый мировое Древо разнесет по земле, неся бедствие для всех. {nl}действительно, Божественное дерево, которое вы видите в ваше время в том мире дерево.
