QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150317_000050	Я просто скажу, что мне надо идти в ванную и сжечь его там тайно.{nl}Спасибо большое.
QUEST_LV_0200_20150317_000051	Солдат Пултер
QUEST_LV_0200_20150317_000052	Боже мой, в указе говорится о ликвидации всех монстров в этой области!{nl}как я могу справиться с этим больше врагов, все сам??
QUEST_LV_0200_20150317_000053	Это было слишком подавляющим, чтобы выполнить задание сам.{nl}тем не менее, мне очень повезло, поскольку вы решили помочь мне.
QUEST_LV_0200_20150317_000054	Я почти мог плакать мои глаза!{nl}большое спасибо за помощь.
QUEST_LV_0200_20150317_000055	Командир Джулиан
QUEST_LV_0200_20150317_000056	Спасибо за помощь! {nl} если ты не против, я бы хотел занять немного больше твоей силы.{nl}
QUEST_LV_0200_20150317_000057	Не будет вам поддержки коммандер О'Рурк блок на Veltui перекрестке??
QUEST_LV_0200_20150317_000058	Командующий О'Рурк
QUEST_LV_0200_20150317_000059	Очень впечатляет.{nl}похоже, мне придется купить Джулиан напиток.
QUEST_LV_0200_20150317_000060	Она пришла мне в голову во время просмотра Ironbaum. {nl} что исключительный компаньон это может быть.
QUEST_LV_0200_20150317_000061	О'Рурк блок был исчерпан через большие и малые сражения с Ironbaum.{nl}было бы очень обнадеживающе, если бы вы могли стать нашей силой.
QUEST_LV_0200_20150317_000062	Заменитель Сова Скульптура
QUEST_LV_0200_20150317_000063	Я хочу помочь очистить тернистый лес, но я недостаточно силен. Не могли бы вы устранить дерево упыри мучают солдат??
QUEST_LV_0200_20150317_000064	Было бы неплохо, если бы больше людей могли приходить и уходить через эту дорогу, как раньше.{nl}я нахожу людей очень интересно.
QUEST_LV_0200_20150317_000065	Спасибо. Надеюсь, я не дам тебе ненужной проблемы все из-за моего стремления.
QUEST_LV_0200_20150317_000066	Ладно. Мы не получили ни одного слова от наших сил на Niurus шоссе.{nl}я прошу вас найти их.
QUEST_LV_0200_20150317_000067	Если Вы не можете найти их, возвращаются к нам.
QUEST_LV_0200_20150317_000068	Soldier Каллус
QUEST_LV_0200_20150317_000069	Есть еще несколько наших коллег в дальнейшем.{nl}пожалуйста, помогите нам.
QUEST_LV_0200_20150317_000070	Солдат Дайнюс
QUEST_LV_0200_20150317_000071	Ironbaum напали на нас в Drieza аквапарк waterland.{nl}есть еще солдат осталось, что еще не сбежал.{nl}
QUEST_LV_0200_20150317_000072	Мне стыдно, что он сбежал сам.{nl}
QUEST_LV_0200_20150317_000073	Поселилась Сова Скульптура
QUEST_LV_0200_20150317_000074	Я кое-что попросить у тебя.{nl}я переживаю за солдат, ранен Ravinelarvae.
QUEST_LV_0200_20150317_000075	Спасибо.{nl}теперь, может наши солдаты спокойно работать??
QUEST_LV_0200_20150317_000076	Я ценю вашу помощь.{nl}один день, я буду возвращать эту услугу, когда я встретить свою форму.
QUEST_LV_0200_20150317_000077	Are you the famous Revelator?{nl}Good, I'm puzzled with something. I need your help.
QUEST_LV_0200_20150317_000078	Ах, теперь я получил орден.{nl}Возвращение командира Джулиан.
QUEST_LV_0200_20150317_000079	Я собираю информацию о Ironbaum.{nl}для того чтобы достичь шлюза, Великий царь, мы должны победить этого монстра в первую очередь.
QUEST_LV_0200_20150317_000080	Спасибо.{nl}вернись после приема этой целью в Zaizda Поултер-Хилл.
QUEST_LV_0200_20150317_000081	Верните мне старые добрые времена.{nl}, когда не было никаких шипов.
QUEST_LV_0200_20150317_000082	Если путь до шлюза Великий король в безопасности, тогда я смогут увидеть больше людей.{nl}
QUEST_LV_0200_20150317_000083	За все это время, я видел все это.{nl}теперь я хочу только радости не было видно.
QUEST_LV_0200_20150317_000084	Почему у человека души содержат настолько много вещей??
QUEST_LV_0200_20150317_000085	Если мы будем запускать в монстров, у нас не будет никакого выбора, кроме как бороться.
QUEST_LV_0200_20150317_000086	Мы работаем, чтобы достичь шлюза Великого короля.{nl}вы слышали новость о Ironbaum??
QUEST_LV_0200_20150317_000087	Для того чтобы стать руководителем группы, Вам необходимо непоколебимыми принципами.
QUEST_LV_0200_20150317_000088	Это правда, что пытаясь достичь шлюза Великого короля безрассудство.{nl}тем не менее, мы не можем ослушаться приказа.
QUEST_LV_0200_20150317_000089	Это может показаться плохо, но двух командиров имеют удивительно хорошие отношения.
QUEST_LV_0200_20150317_000090	Я чувствую себя так одиноко, с тех пор здесь никого нет.{nl}прошло много времени с тех пор как я встретил новые лица.
QUEST_LV_0200_20150317_000091	What do you want to do here in this empty forest? No way, the way is available?
QUEST_LV_0200_20150317_000092	Спасибо.{nl}солдаты и мои коллеги теперь смогут спать спокойно.
QUEST_LV_0200_20150317_000093	Я не чувствую рук и ног.{nl}я чувствую себя так странно, хотя на улице не так холодно.
QUEST_LV_0200_20150317_000094	Мы должны победить Gaigalas.{nl}в противном случае я не смогу спать спокойно.
QUEST_LV_0200_20150317_000095	Мы начнем охоту за Gaigalas скоро.{nl}я так взволнован.
QUEST_LV_0200_20150317_000096	Этой обиды не так грустно.{nl}это печально, что мы бессильны остановить это.
QUEST_LV_0200_20150317_000097	Потери будут продолжаться пока кто-то останавливает демонов.
QUEST_LV_0200_20150317_000098	Совместная Группа По Расследованию Член Фрей
QUEST_LV_0200_20150317_000099	Я Фрей.{nl}слушая рассказ, ситуация звучит плохо.{nl}если информация, которую вы и Скотт исследовал правильно.
QUEST_LV_0200_20150317_000100	{nl}тогда, мне придется что-то делать.{nl}пожалуйста, победить некоторые красные Vubbes первой. Они были беспокоит меня в последнее время.
QUEST_LV_0200_20150317_000101	Пожалуйста, я тебя прошу...{nl}Я болею просто смотрю на красный цвет.
QUEST_LV_0200_20150317_000102	Oh, did you really defeat them for me?{nl}Thank you!
QUEST_LV_0200_20150317_000103	Я получил кое-что после разговора со Скоттом.{nl}что-то вроде движущейся Дровосек кусок дерева скульптуры.{nl}это каким-то образом связаны с корой дерева, что Vubbes есть??
QUEST_LV_0200_20150317_000104	By the way, there is still no news from Scott about a second report.{nl}I wonder what happened to him? Хм...
QUEST_LV_0200_20150317_000105	Ух ты, здорово!{nl}я у тебя в долгу. Спасибо!
QUEST_LV_0200_20150317_000106	Right? So I will ask you.{nl}Woodsmen are appearing on the Deer Hoot Site along with the left side of the path.
QUEST_LV_0200_20150317_000107	I will take this combined result of the information Scott gave me and this fragment to my superior. {nl}By the way, There is still no news from Scott. Even the time Scott promised has long since passed. Just using the hearsay is not enough for the other investigator?{nl}
QUEST_LV_0200_20150317_000108	Could you pick up the report from Scott?{nl}Do not forget to scold him for skipping work!
QUEST_LV_0200_20150317_000109	Please handle Scott's report. Okay?{nl}Sometimes, he is stupid, but he is also cute.
QUEST_LV_0200_20150317_000110	У меня нет лица. Сегодня я был расследует везде, чтобы найти что-то..{nl}Спасибо большое. Если Вы не..{nl}Ах, я не хочу думать об этом.{nl}
QUEST_LV_0200_20150317_000111	Упс, нет времени для этого.{nl}прости, пожалуйста, дай Фрей вместо меня.{nl}я не знаю, с чего начать убирать беспорядок, что Vubbes сделал..
QUEST_LV_0200_20150317_000112	Ah, it is the report! {nl}Good, and what was Scott doing?{nl}
QUEST_LV_0200_20150317_000113	Really? He couldn't handle a single Vubbe and got in trouble instead.{nl}Such a shame..I will scold him later!
QUEST_LV_0200_20150317_000114	Все это лажа. {nl}я не могу сосредоточиться как Vubbes.{nl}он должен смеяться, если он на это смотрите??
QUEST_LV_0200_20150317_000115	Совместная Группа По Расследованию Член Фрей
QUEST_LV_0200_20150317_000116	Она все еще продолжается, чтобы узнать правду о событиях.{nl}взять его. Это души коллекции прокрутки.{nl}
QUEST_LV_0200_20150317_000117	Once you defeat the Red Vubbe using this scroll, the soul of Vubbe should be out?{nl}I'll have you collect it for me. Then, the data are almost done.
QUEST_LV_0200_20150317_000118	Не забывайте заказа.{nl}Вы должны победить красные Vubbes после использования душа коллекция прокрутки на них. Ладно??
QUEST_LV_0200_20150317_000119	Об кору дерева, что Vubbe получил.{nl}я думаю, что смогу совмещать ее помощью что-то вроде духа..{nl}ну, пожалуйста, расскажите эту новость Ukirt.
QUEST_LV_0200_20150317_000120	Совместная Группа По Расследованию Член Ukirt
QUEST_LV_0200_20150317_000121	Scott and Frey did a good job. What do you think of it?{nl}I don't think so that Vubbe can't create themself.{nl}I will have to check what they do using this.{nl}
QUEST_LV_0200_20150317_000122	There may be something inside the supply boxes that the soldiers left a long time ago.{nl}You will find some old supply boxes up there.{nl}Can you go there and check? If we obtain some clues there, we may get an answer.
QUEST_LV_0200_20150317_000123	Если вы идете туда, вы только пришли, вы увидите башни обсерватории на холмах.{nl}надеюсь монстров не трогать пока..
QUEST_LV_0200_20150317_000124	Are they really planning something?{nl}Something.. is suspicious..
QUEST_LV_0200_20150317_000125	The Vubbes broke the supply boxes and ran away with this?{nl}Why? Were they really making it?{nl}No way, they aren't smart enough to do that.{nl}
QUEST_LV_0200_20150317_000126	Хорошо! Мы должны обратить внимание и решить проблему!
QUEST_LV_0200_20150317_000127	Okay. Are you ready?{nl}
QUEST_LV_0200_20150317_000128	Прежде чем вы пришли, я увидел Vubbes перемещаются группами.{nl}перейти Gebene утесы и посмотреть, как ситуация.
QUEST_LV_0200_20150317_000129	В Vubbes всегда были чем-то замешан, что здесь произошло.{nl}это не может быть просто совпадением..
QUEST_LV_0200_20150317_000130	Я думаю.. я понимаю теперь. {nl}я думаю, что была бы большая фабрика создании огромных монстров, называемых Woodspirits.{nl}
QUEST_LV_0200_20150317_000131	Флаг Vubbes должно быть, позвонил в призраков.{nl}затем они загрязняют деревья и создали огромные монстры.{nl}
QUEST_LV_0200_20150317_000132	То дерево лает должны были ингредиенты для изготовления Woodspirits.{nl}нет тех Vubbes мог сделать это в одиночку.{nl}должно быть, они получили приказ от кого-то!
QUEST_LV_0200_20150317_000133	Мы можем найти несколько решающих доказательств на месте, где Vubbes сгруппированы вместе.{nl}если добычу видит этого, он понравится!
QUEST_LV_0200_20150317_000134	Vubbes не очень умный так что он, должно быть, сделал только простые приказы.{nl}как он мог подумать о контроле за те Vubbes..{nl}я не знаю, что сказать. {nl}
QUEST_LV_0200_20150317_000135	Я уверен, что Woodspirits создаются из различных мест.{nl}я чувствую порочный энергии, приходящие. {nl}мы должны сначала уничтожить флаги, которые создают Woodspirits!
QUEST_LV_0200_20150317_000136	Уйду, как только вы будете готовы. {nl}наилучший курс действий для сейчас-остановить создание Woodspirits..
QUEST_LV_0200_20150317_000137	Я думаю, что мы сделали все возможное для сейчас. {nl}поскольку мы ничего не можем поделать с теми, что уже были созданы.
QUEST_LV_0200_20150317_000138	Я чувствую ближайший флаг отсюда недалеко Gatves шоссе.{nl}огромными деревьями, что люди видели, вероятно, Woodspirits.{nl}как я могла пропустить эту простую вещь.
QUEST_LV_0200_20150317_000139	Убедительная Сова Начальника Скульптура
QUEST_LV_0200_20150317_000140	Огромное спасибо. {nl}другие совы, должно быть, заработал доверие из-за тебя.
QUEST_LV_0200_20150317_000141	Слабые Сова Скульптура
QUEST_LV_0200_20150317_000142	Это действительно было слишком поздно..{nl}богиня действительно может быть грубым иногда..
QUEST_LV_0200_20150317_000143	У меня есть одна последняя просьба. {nl}вы можете сжечь Сов, чтобы они могли отдохнуть в тишине??
QUEST_LV_0200_20150317_000144	Вы думаете мои союзники могут достичь Богиня Ausrine безопасно??
QUEST_LV_0200_20150317_000145	Огромное спасибо. {nl}сначала принеси мне масла коробки на пути к Neuoder поле.
QUEST_LV_0200_20150317_000146	Если Вы не против, я хотел бы получить некоторую помощь от вас.{nl}я послал гонца, но из-за последней атаки, я теперь беспокоюсь о нем.{nl}
QUEST_LV_0200_20150317_000147	Этот посланник должен быть безопасным... но я все равно волнуюсь за него.
QUEST_LV_0200_20150317_000148	Огромное спасибо.{nl}он должен быть уже там.
QUEST_LV_0200_20150317_000149	Отряд был послан, чтобы восстановить Kateen лес от монстров.{nl}вход сюда Kateen лес безопасен по сравнению с другими районами. В других областях еще не восстановился.{nl}
QUEST_LV_0200_20150317_000150	Как вы идете глубже внутрь, существует целый ряд солдат вдоль пути отсутствуют в поставках.{nl}если известный человек, как вы можете помочь им, это будет большим подспорьем.{nl}
QUEST_LV_0200_20150317_000151	Messenger Падать
QUEST_LV_0200_20150317_000152	Это моя вина, предполагая, что для входа Kateen лес был безопасным.{nl}я вернусь в лагерь после приема короткого отдыха.
QUEST_LV_0200_20150317_000153	Ах, это моя сумка.. спасибо, что спасли меня.{nl}
QUEST_LV_0200_20150317_000154	Only you can help me right now.{nl}Can you tell Felix that the operation at Peljeda Crossroads has already started?{nl}{nl}
QUEST_LV_0200_20150317_000155	Есть много странных вещей, которых невозможно увидеть в других лесах, чем Kateen лес.{nl}, таких как деревянные скульптуры совы.
QUEST_LV_0200_20150317_000156	The operation? Oh, what an ignorant messenger.{nl}I can get that from the camp... Thanks anyway.{nl}
QUEST_LV_0200_20150317_000157	Ох, как спина темно, так что было бы оценено если Вы смогли зажечь костер снова.
QUEST_LV_0200_20150317_000158	Ведь ты не видишь солнечного света в Kateen леса из-за огромного количества деревьев.{nl}кажется, что призраки могут выйти в любой момент.
QUEST_LV_0200_20150317_000159	Okay, so the messenger is safe?{nl}This place has been well taken care of thanks to your efforts.
QUEST_LV_0200_20150317_000160	Я буду считать отдых здесь.{nl}есть хорошее место, чтобы спрятаться??
QUEST_LV_0200_20150317_000161	Для сдачи Saltistter приходят в этот далеко в нашем тылу, я должен ругать человека за охраняющих это место.{nl}Спасибо в любом случае. Вы точно оправдываете свою репутацию.{nl}
QUEST_LV_0200_20150317_000162	Охранник Лайл
QUEST_LV_0200_20150317_000163	Я потерял многих коллег сквозь камень морозы.{nl}я не понимаю, почему я нахожусь здесь, чтобы поддержать новичка Chronomancer... так неэффективно.{nl}, на вершине, что, мы не знаем, когда эти жестокие монстры будут атаковать здесь.
QUEST_LV_0200_20150317_000164	Если у вас все в порядке, можно избавляться от монстров, пока мы защищаем здесь??
QUEST_LV_0200_20150317_000165	Очень жаль, что мы должны заботиться о том, что женщина на этот раз.
QUEST_LV_0200_20150317_000166	Спасибо. Мы можем остаться здесь в безопасности в течение некоторого времени.
QUEST_LV_0200_20150317_000167	 Несколько недель назад, наши товарищи подверглись нападению во время сна каменными морозы.{nl}после того, как мир получился такой, мы не получили много поддержки и ждать здесь.{nl}монстры attaking оцепеневших жертв на данный момент. Может проклятье лежит на этих монстров!
QUEST_LV_0200_20150317_000168	Если есть товарищи, которые там еще остаются в камнях, вы можете остаться рядом с ними и защитить их на некоторое время??
QUEST_LV_0200_20150317_000169	Мой старый друг, Гален-один из пострадавших.{nl}пожалуйста, защитить его.
QUEST_LV_0200_20150317_000170	Огромное спасибо. Я надеюсь, что подкрепление придет скоро, чтобы он мог вернуться к своей семье, даже если он окаменел.
QUEST_LV_0200_20150317_000171	Существует множество проклятые документы и неочищенные объектов на Ruklys улице.{nl}есть также много воров, которые после этих.{nl}и среди них, Dico воры часто нападают на охранников.
QUEST_LV_0200_20150317_000172	Can you defeat them at the military district?{nl}If you could defeat them, we will go and capture them.
QUEST_LV_0200_20150317_000173	Тот, кто был пойман в прошлый раз рассказал нам о том, что каменные изваяния были с ним разговаривает.{nl}вы думаете, что имеет смысл??
QUEST_LV_0200_20150317_000174	Мне удалось арестовать множество воров благодаря вашей помощи.{nl}Спасибо.
QUEST_LV_0200_20150317_000175	Охранник Nomabis
QUEST_LV_0200_20150317_000176	Несколько дней назад мы потеряли наших поставок Dico воров.{nl}должно быть, они забрали их Drasa поклонения руины, но так как я не могу покинуть это место, я думаю, мы все умрем.
QUEST_LV_0200_20150317_000177	Можете ли вы восстановить утраченные запасы??
QUEST_LV_0200_20150317_000178	Несколько десятилетий назад, воры напали на охранника лагеря и украли припасы тайно.
QUEST_LV_0200_20150317_000179	Они заманили нас перед ними и украли предметы из-за спины, так что не было никакого способа, мы можем предотвратить их от кражи.{nl}, что они хотели взять предметы законно, поэтому они были отправлены на виселицу.
QUEST_LV_0200_20150317_000180	Количество Dico воров растет.{nl}они очень близко к монстрам. Я не знаю, если они тренируются те монстры или если есть нечто, что я пока не знаю.{nl}я слышал, рыцари Kaliss был атакован ими.{nl}может быть, они собираются после того, как Сабина. Она носит только дорогие вещи.
QUEST_LV_0200_20150317_000181	Во избежание любого рода опасности, мы должны сначала атаковать прежде, чем они двигаются.{nl}перейти Drasa культа руин и победить их.
QUEST_LV_0200_20150317_000182	Город, который рухнул сотни лет назад не имеет каких-либо активов или жизней, чтобы защитить.{nl}это скорее чувство, защищая руины. Есть воры, а.
QUEST_LV_0200_20150317_000183	Ты преподал им урок. Молодцы.
QUEST_LV_0200_20150317_000184	Несколько недель назад коллеги, который работал здесь, получил повреждения камня морозы и стали каменные статуи на площади. {nl}причина, по которой коллеги получили повреждения, поскольку они были заняты в ликвидации ловушек, что воры были установлены, но не мог избежать их.{nl}есть еще много ловушек вокруг. Мы недавно нашли один из них. Можете ли вы избавиться от него??
QUEST_LV_0200_20150317_000185	Количество Dico воров может быть больше, чем количество охранников.
QUEST_LV_0200_20150317_000186	Вы поймали монстров за пределами воровской зоной. Я сожалею, что тебе пришлось пройти через такое опасное задание.
QUEST_LV_0200_20150317_000187	Chronomancer Сабина
QUEST_LV_0200_20150317_000188	Много вещей случилось здесь, но, поскольку они были совершены давно, нам нужно Больше информации для того, чтобы выяснить правду.{nl}вы можете найти в записи от ворот маршрут, который был упасть и сделать с них копии??
QUEST_LV_0200_20150317_000189	Все разрушается с течением времени.
QUEST_LV_0200_20150317_000190	Спасибо. Это о развале крепости.{nl}я должен более тщательно изучить его, чтобы найти более решительным информацию.
QUEST_LV_0200_20150317_000191	Я делаю много исследований здесь, но у меня сейчас сложное время обнаружения инцидента, произошедшего еще в прошлом из-за этих монстров.{nl}вы можете пойти и заглянуть в прошлое от имени меня??
QUEST_LV_0200_20150317_000192	Используйте увеличительное стекло времени возле Pergele дорог. Тогда вы были бы в состоянии видеть прошлое.
QUEST_LV_0200_20150317_000193	Пожалуйста, используйте его с особой осторожностью. Это только один левый.
QUEST_LV_0200_20150317_000194	What the hell happened? Do not say anything about what you've seen here outside.
QUEST_LV_0200_20150317_000195	Чтобы лучше понять, о обстоятельствах, мы должны идти к крепости Земли, находящейся в штаб-Ruklys.{nl}но, мы не можем Войти с солдат королевства ограничивают вход.{nl}у меня есть хорошее решение, хотя..
QUEST_LV_0200_20150317_000196	Портал, которым пользовались остатками, когда они пытались убежать из крепости Земли.{nl}есть всего десять из них по записи.{nl}четыре из них находятся здесь. Можете ли вы проверить, если они все-таки активирован??
QUEST_LV_0200_20150317_000197	Потому что из нашего плана, мы может быть отправлен на виселицу.{nl}пожалуйста, держите это в секрете.
QUEST_LV_0200_20150317_000198	Портал на военный округ-это наша единственная надежда.
QUEST_LV_0200_20150317_000199	Охотник Таранной Кости
QUEST_LV_0200_20150317_000200	Я ищу несколько артефактов Лидия Schaffen, который построил Астральную башню.{nl}знаменитый лучник, который насадил стрелу в Ruklys' грудной клетки.
QUEST_LV_0200_20150317_000201	Королевской Армии Гвардии Retia
QUEST_LV_0200_20150317_000202	Из-за камня морозы, которые были созданы благодаря Ruklys' восстания несколько сотен лет назад земля превратилась в пустошь.
QUEST_LV_0200_20150317_000203	Мы позволим вам Войти с рыцарями Kaliss просил нас сделать это, но, пожалуйста, оставайтесь там, где наши взоры по-прежнему.
QUEST_LV_0200_20150317_000204	После Medzio Диена четыре года назад, Бенас был назначен главным командиром сил здесь.{nl}он приказал заботиться о дороге, ведущей к крепости Земли.
QUEST_LV_0200_20150317_000205	Если Вы не в спешке, пожалуйста, победить монстров в зоне А.{nl}, что станет первым шагом для вас, чтобы способствовать богини и королевство..{nl}конечно же, я обещаю тебе достаточно наград.
QUEST_LV_0200_20150317_000206	Командир повстанцев Ruklys, и граждане, занимающиеся злой поведения{nl}несмотря на выборы от великий купец, именитый премьер. В результате это место.
QUEST_LV_0200_20150317_000207	Это не плохо. Может быть, охранники могут использовать его.
QUEST_LV_0200_20150317_000208	После Medzio Диена, камень морозы происходят нерегулярно.{nl}из-за нерегулярного камня морозы, мы потеряли много наших воинов на этот пустырь.{nl}и мы устанавливаем окаменение устройств ограниченно здесь на площади скорби и мы проверяем частоту морозы и съехать солдат соответственно.
QUEST_LV_0200_20150317_000209	Проверьте окаменение устройств если вы хотите чтобы лояльные королевство и получить это определение.
QUEST_LV_0200_20150317_000210	Есть монстры, которые пытаются идти за солдатами, которые поддерживают устройства. Будьте осторожны.
QUEST_LV_0200_20150317_000211	Камень морозы будут изгнаны с двух мест.{nl}я слышал, что вы довольно известный Богослов. {nl}да??
QUEST_LV_0200_20150317_000212	Начиная с несколько месяцев назад, монстров, которые напали на солдат, которые поддерживают устройства появились.{nl}солдаты, которые смогли выжить нам сказали, что это гигантская птица.{nl}, когда мы смотрели на illustruated отчеты Королевство, оно было очень похоже на Sparnashorn.
QUEST_LV_0200_20150317_000213	Если вы Богослов, вы будете иметь никаких проблем с ним сражается.{nl}но, не здесь, в зоне А. измученных солдат может ввязываться в это.
QUEST_LV_0200_20150317_000214	Используйте этот свиток поглощения, чтобы временно избавиться от камня морозы, начинаем формировать в зоне А. {nl}в Sparnashorn появится из камня морозы в зоне Б.
QUEST_LV_0200_20150317_000215	Эти охранники имели их жизни угрожает Sparnashorn и камень морозы. {nl}они ослеплены страхом, так что они не единого шанса бороться с ней.
QUEST_LV_0200_20150317_000216	Камень морозы ушли временно. {nl}нет никакого способа, мы можем остановить наказаний Ruklys принесет что бы мы ни делали.
QUEST_LV_0200_20150317_000217	Are you ready? It's time to defeat the Sparnashorn. {nl}But we don't have enough time. No matter how great a Revelator you are, if you are exposed to the Stone Frost, then that will be the end. {nl}Go to area B. The Sparnashorn will come attacking if you touch the detector. {nl}Defeat it and get out of there before the Stone Frost starts.
QUEST_LV_0200_20150317_000218	Бежать, чтобы уклониться от нее тоже хороший способ. {nl}но ты не можешь продолжать делать это долго. {nl}это должна быть остановлена, когда есть большой и верный волонтер как и вы.
QUEST_LV_0200_20150317_000219	Услышав, что он был побежден самый многообещающий рассказ я слышал в лет. {nl}теперь я лучше пусть остальные войска первого и сообщить им хорошие новости.
QUEST_LV_0200_20150317_000220	There is something I always wanted to ask if I'd meet anyone here. {nl}Can you clean our workshop? Monsters pop out wherever I go and I can't work. {nl}The Royal Army cowards are too scared to even come near here so don't mind them. {nl}What do you think? Can you help me?
QUEST_LV_0200_20150317_000221	На какую работу я делаю, это коммерческая тайна, поэтому я не могу сказать вам, что это такое.. {nl}никто не владеет этими вещами в любом случае. Рыбалка в открытом море, если вам это нужно.
